Search Keyword,Cycle,Expected Table,Expected Column,Found,Candidate Rank,Matched Variable,Matched Table,Similarity Score
doctor told you have diabetes,2011-2012,nhanes.diq_g,doctor_told_you_have_diabetes,True,1,doctor told you have diabetes,nhanes.diq_g,1.0
doctor told you have diabetes,2013-2014,nhanes.diq_h,doctor_told_you_have_diabetes,True,1,doctor told you have diabetes,nhanes.diq_h,1.0
doctor told you have diabetes,2007-2008,nhanes.diq_e,doctor_told_you_have_diabetes,True,1,doctor told you have diabetes,nhanes.diq_e,1.0
doctor told you have diabetes,2009-2010,nhanes.diq_f,doctor_told_you_have_diabetes,True,1,doctor told you have diabetes,nhanes.diq_f,1.0
doctor told you have diabetes,2015-2016,nhanes.diq_i,doctor_told_you_have_diabetes,True,1,doctor told you have diabetes,nhanes.diq_i,1.0
doctor told you have diabetes,2017-2018,nhanes.diq_j,doctor_told_you_have_diabetes,True,1,doctor told you have diabetes,nhanes.diq_j,1.0
"fasting plasma glucose (fpg, mmol/l)",2011-2012,nhanes.glu_g,fasting_glucose_mmol_l,True,1,fasting glucose (mmol/l),nhanes.glu_g,0.8116789
"fasting plasma glucose (fpg, mmol/l)",2013-2014,nhanes.glu_h,fasting_glucose_mmol_l,True,1,fasting glucose (mmol/l),nhanes.glu_h,0.8116789
"fasting plasma glucose (fpg, mmol/l)",2007-2008,nhanes.glu_e,fasting_glucose_mmol_l,True,1,fasting glucose (mmol/l),nhanes.glu_e,0.8116789
"fasting plasma glucose (fpg, mmol/l)",2009-2010,nhanes.glu_f,fasting_glucose_mmol_l,True,1,fasting glucose (mmol/l),nhanes.glu_f,0.8116789
"fasting plasma glucose (fpg, mmol/l)",2015-2016,nhanes.glu_i,fasting_glucose_mmol_l,True,1,fasting glucose (mmol/l),nhanes.glu_i,0.8116789
"fasting plasma glucose (fpg, mmol/l)",2017-2018,nhanes.glu_j,fasting_glucose_mmol_l,True,1,fasting glucose (mmol/l),nhanes.glu_j,0.8116789
