Search Keyword,Cycle,Expected Table,Expected Column,Found,Candidate Rank,Matched Variable,Matched Table,Similarity Score
fasting plasma glucose (mmol/l),2005-2006,nhanes.glu_d,fasting_glucose_mmol_l,True,1,fasting glucose (mmol/l),nhanes.glu_d,0.95560396
fasting plasma glucose (mmol/l),2011-2012,nhanes.glu_g,fasting_glucose_mmol_l,True,1,fasting glucose (mmol/l),nhanes.glu_g,0.95560396
fasting plasma glucose (mmol/l),2013-2014,nhanes.glu_h,fasting_glucose_mmol_l,True,1,fasting glucose (mmol/l),nhanes.glu_h,0.95560396
fasting plasma glucose (mmol/l),2007-2008,nhanes.glu_e,fasting_glucose_mmol_l,True,1,fasting glucose (mmol/l),nhanes.glu_e,0.95560396
fasting plasma glucose (mmol/l),2009-2010,nhanes.glu_f,fasting_glucose_mmol_l,True,1,fasting glucose (mmol/l),nhanes.glu_f,0.95560396
fasting plasma glucose (mmol/l),2015-2016,nhanes.glu_i,fasting_glucose_mmol_l,True,1,fasting glucose (mmol/l),nhanes.glu_i,0.95560396
fasting plasma glucose (mmol/l),2017-2018,nhanes.glu_j,fasting_glucose_mmol_l,True,1,fasting glucose (mmol/l),nhanes.glu_j,0.95560396
glycohemoglobin (%),2005-2006,nhanes.ghb_d,glycohemoglobin,True,1,glycohemoglobin (%),nhanes.ghb_d,1.0
glycohemoglobin (%),2011-2012,nhanes.ghb_g,glycohemoglobin,True,1,glycohemoglobin (%),nhanes.ghb_g,1.0
glycohemoglobin (%),2013-2014,nhanes.ghb_h,glycohemoglobin,True,1,glycohemoglobin (%),nhanes.ghb_h,1.0
glycohemoglobin (%),2007-2008,nhanes.ghb_e,glycohemoglobin,True,1,glycohemoglobin (%),nhanes.ghb_e,1.0
glycohemoglobin (%),2009-2010,nhanes.ghb_f,glycohemoglobin,True,1,glycohemoglobin (%),nhanes.ghb_f,1.0
glycohemoglobin (%),2015-2016,nhanes.ghb_i,glycohemoglobin,True,1,glycohemoglobin (%),nhanes.ghb_i,1.0
