Search Keyword,Cycle,Expected Table,Expected Column,Found,Candidate Rank,Matched Variable,Matched Table,Similarity Score
four level retinopathy grading,2005-2006,nhanes.opxret_d,4_levels_retinopathy_severity_worse_eye,True,1,"4 levels retinopathy severity, worse eye",nhanes.opxret_d,0.79613274
four level retinopathy grading,2007-2008,nhanes.opxret_e,4_levels_retinopathy_severity_worse_eye,True,1,"4 levels retinopathy severity, worse eye",nhanes.opxret_e,0.79613274
self-reported diabetes,2005-2006,nhanes.diq_d,doctor_told_you_have_diabetes,True,1,doctor told you have diabetes,nhanes.diq_d,0.7115066
self-reported diabetes,2007-2008,nhanes.diq_e,doctor_told_you_have_diabetes,True,1,doctor told you have diabetes,nhanes.diq_e,0.7115066
use of insulin,2005-2006,nhanes.diq_d,taking_insulin_now,True,1,taking insulin now,nhanes.diq_d,0.78361595
use of insulin,2007-2008,nhanes.diq_e,taking_insulin_now,True,1,taking insulin now,nhanes.diq_e,0.7836159
use of diabetes medication,2005-2006,nhanes.diq_d,take_diabetic_pills_to_lower_blood_sugar,True,1,take diabetic pills to lower blood sugar,nhanes.diq_d,0.66280407
use of diabetes medication,2007-2008,nhanes.diq_e,take_diabetic_pills_to_lower_blood_sugar,True,1,take diabetic pills to lower blood sugar,nhanes.diq_e,0.66280407
glycohemoglobin a1c level (%),2005-2006,nhanes.ghb_d,glycohemoglobin,True,1,glycohemoglobin (%),nhanes.ghb_d,0.8840455
glycohemoglobin a1c level (%),2007-2008,nhanes.ghb_e,glycohemoglobin,True,1,glycohemoglobin (%),nhanes.ghb_e,0.8840455
oral glucose tolerance test (mmol/L),2005-2006,nhanes.ogtt_d,two_hour_glucose_ogtt_mmol_l,True,2,two hour glucose(ogtt) (mmol/l),nhanes.ogtt_d,0.67203593
oral glucose tolerance test (mmol/L),2007-2008,nhanes.ogtt_e,two_hour_glucose_ogtt_mmol_l,True,2,two hour glucose(ogtt) (mmol/l),nhanes.ogtt_e,0.67203593
serum glucose (mmol/L),2005-2006,nhanes.biopro_d,glucose_serum_mmol_l,True,1,"glucose, serum (mmol/l)",nhanes.biopro_d,0.9575752
serum glucose (mmol/L),2007-2008,nhanes.biopro_e,glucose_serum_mmol_l,True,1,"glucose, serum (mmol/l)",nhanes.biopro_e,0.9575752
hdl-cholestrol,2005-2006,nhanes.hdl_d,direct_hdl_cholesterol_mg_dl,True,1,direct hdl-cholesterol (mg/dl),nhanes.hdl_d,0.72525513
hdl-cholestrol,2007-2008,nhanes.hdl_e,direct_hdl_cholesterol_mg_dl,True,1,direct hdl-cholesterol (mg/dl),nhanes.hdl_e,0.72525513
race/hispanic origin,2005-2006,nhanes.demo_d,race_hispanic_origin,True,1,race/hispanic origin,nhanes.demo_d,1.0
race/hispanic origin,2007-2008,nhanes.demo_e,race_hispanic_origin,True,1,race/hispanic origin,nhanes.demo_e,1.0
age at screening,2005-2006,nhanes.demo_d,age_in_years_at_screening,True,1,age in years at screening,nhanes.demo_d,0.9615551
age at screening,2007-2008,nhanes.demo_e,age_in_years_at_screening,True,1,age in years at screening,nhanes.demo_e,0.9615551
gender,2005-2006,nhanes.demo_d,gender,True,2,gender,nhanes.demo_d,1.0
gender,2007-2008,nhanes.demo_e,gender,True,1,gender,nhanes.demo_e,1.0
