Search Keyword,Cycle,Expected Table,Expected Column,Found,Candidate Rank,Matched Variable,Matched Table,Similarity Score
age in years at screening,2017-2020,nhanes.p_demo,age_in_years_at_screening,True,1,age in years at screening,nhanes.p_demo,1.0
age in years at screening,2011-2012,nhanes.demo_g,age_in_years_at_screening,True,1,age in years at screening,nhanes.demo_g,1.0
age in years at screening,2013-2014,nhanes.demo_h,age_in_years_at_screening,True,1,age in years at screening,nhanes.demo_h,1.0
age in years at screening,2015-2016,nhanes.demo_i,age_in_years_at_screening,True,1,age in years at screening,nhanes.demo_i,1.0
age when first told the patient had diabetes,2017-2020,nhanes.p_diq,age_when_first_told_you_had_diabetes,True,1,age when first told you had diabetes,nhanes.p_diq,0.93819016
age when first told the patient had diabetes,2011-2012,nhanes.diq_g,age_when_first_told_you_had_diabetes,True,1,age when first told you had diabetes,nhanes.diq_g,0.9381901
age when first told the patient had diabetes,2013-2014,nhanes.diq_h,age_when_first_told_you_had_diabetes,True,1,age when first told you had diabetes,nhanes.diq_h,0.9381901
age when first told the patient had diabetes,2015-2016,nhanes.diq_i,age_when_first_told_you_had_diabetes,True,1,age when first told you had diabetes,nhanes.diq_i,0.9381901
has a doctor ever told you that you have diabetes,2017-2020,nhanes.p_diq,doctor_told_you_have_diabetes,True,1,doctor told you have diabetes,nhanes.p_diq,0.9173068
has a doctor ever told you that you have diabetes,2011-2012,nhanes.diq_g,doctor_told_you_have_diabetes,True,1,doctor told you have diabetes,nhanes.diq_g,0.9173068
has a doctor ever told you that you have diabetes,2013-2014,nhanes.diq_h,doctor_told_you_have_diabetes,True,1,doctor told you have diabetes,nhanes.diq_h,0.9173068
has a doctor ever told you that you have diabetes,2015-2016,nhanes.diq_i,doctor_told_you_have_diabetes,True,1,doctor told you have diabetes,nhanes.diq_i,0.9173068
glycohemoglobin (hba1c),2017-2020,nhanes.p_ghb,glycohemoglobin,True,1,glycohemoglobin (%),nhanes.p_ghb,0.769664
glycohemoglobin (hba1c),2011-2012,nhanes.ghb_g,glycohemoglobin,True,1,glycohemoglobin (%),nhanes.ghb_g,0.769664
glycohemoglobin (hba1c),2013-2014,nhanes.ghb_h,glycohemoglobin,True,1,glycohemoglobin (%),nhanes.ghb_h,0.769664
glycohemoglobin (hba1c),2015-2016,nhanes.ghb_i,glycohemoglobin,True,1,glycohemoglobin (%),nhanes.ghb_i,0.769664
serum albumin (g/dl),2017-2020,nhanes.p_biopro,albumin_g_dl,True,1,albumin (g/dl),nhanes.p_biopro,0.74651426
serum albumin (g/dl),2011-2012,nhanes.biopro_g,albumin_g_dl,True,1,albumin (g/dl),nhanes.biopro_g,0.74651426
serum albumin (g/dl),2013-2014,nhanes.biopro_h,albumin_g_dl,True,1,albumin (g/dl),nhanes.biopro_h,0.74651426
serum albumin (g/dl),2015-2016,nhanes.biopro_i,albumin_g_dl,True,1,albumin (g/dl),nhanes.biopro_i,0.74651426
diabetes affected eyes/had retinopathy,2017-2020,nhanes.p_diq,diabetes_affected_eyes_had_retinopathy,True,1,diabetes affected eyes/had retinopathy,nhanes.p_diq,1.0
diabetes affected eyes/had retinopathy,2011-2012,nhanes.diq_g,diabetes_affected_eyes_had_retinopathy,True,1,diabetes affected eyes/had retinopathy,nhanes.diq_g,1.0
diabetes affected eyes/had retinopathy,2013-2014,nhanes.diq_h,diabetes_affected_eyes_had_retinopathy,True,1,diabetes affected eyes/had retinopathy,nhanes.diq_h,1.0
diabetes affected eyes/had retinopathy,2015-2016,nhanes.diq_i,diabetes_affected_eyes_had_retinopathy,True,1,diabetes affected eyes/had retinopathy,nhanes.diq_i,1.0
gender,2017-2020,nhanes.p_demo,gender,True,1,gender,nhanes.p_demo,1.0
gender,2011-2012,nhanes.demo_g,gender,True,1,gender,nhanes.demo_g,1.0
gender,2013-2014,nhanes.demo_h,gender,True,1,gender,nhanes.demo_h,1.0
gender,2015-2016,nhanes.demo_i,gender,True,1,gender,nhanes.demo_i,1.0
race/hispanic origin,2017-2020,nhanes.p_demo,race_hispanic_origin,True,1,race/hispanic origin,nhanes.p_demo,1.0
race/hispanic origin,2011-2012,nhanes.demo_g,race_hispanic_origin,True,1,race/hispanic origin,nhanes.demo_g,1.0
race/hispanic origin,2013-2014,nhanes.demo_h,race_hispanic_origin,True,1,race/hispanic origin,nhanes.demo_h,1.0
race/hispanic origin,2015-2016,nhanes.demo_i,race_hispanic_origin,True,1,race/hispanic origin,nhanes.demo_i,1.0
diabetes affected eyes had retinopathy,2017-2020,nhanes.p_diq,diabetes_affected_eyes_had_retinopathy,True,1,diabetes affected eyes/had retinopathy,nhanes.p_diq,1.0
diabetes affected eyes had retinopathy,2011-2012,nhanes.diq_g,diabetes_affected_eyes_had_retinopathy,True,1,diabetes affected eyes/had retinopathy,nhanes.diq_g,1.0
diabetes affected eyes had retinopathy,2013-2014,nhanes.diq_h,diabetes_affected_eyes_had_retinopathy,True,1,diabetes affected eyes/had retinopathy,nhanes.diq_h,1.0
diabetes affected eyes had retinopathy,2015-2016,nhanes.diq_i,diabetes_affected_eyes_had_retinopathy,True,1,diabetes affected eyes/had retinopathy,nhanes.diq_i,1.0
