Search Keyword,Cycle,Expected Table,Expected Column,Found,Candidate Rank,Matched Variable,Matched Table,Similarity Score
told by doctors they had diabetes,2011-2012,nhanes.diq_g,doctor_told_you_have_diabetes,True,1,doctor told you have diabetes,nhanes.diq_g,0.8707505
told by doctors they had diabetes,2013-2014,nhanes.diq_h,doctor_told_you_have_diabetes,True,1,doctor told you have diabetes,nhanes.diq_h,0.8707505
told by doctors they had diabetes,2009-2010,nhanes.diq_f,doctor_told_you_have_diabetes,True,1,doctor told you have diabetes,nhanes.diq_f,0.8707505
told by doctors they had diabetes,2015-2016,nhanes.diq_i,doctor_told_you_have_diabetes,True,1,doctor told you have diabetes,nhanes.diq_i,0.8707505
told by doctors they had diabetes,2017-2018,nhanes.diq_j,doctor_told_you_have_diabetes,True,1,doctor told you have diabetes,nhanes.diq_j,0.8707505
were told they had diabetic retinopathy,2011-2012,nhanes.diq_g,diabetes_affected_eyes_had_retinopathy,True,1,diabetes affected eyes/had retinopathy,nhanes.diq_g,0.8277815
were told they had diabetic retinopathy,2013-2014,nhanes.diq_h,diabetes_affected_eyes_had_retinopathy,True,1,diabetes affected eyes/had retinopathy,nhanes.diq_h,0.8277815
were told they had diabetic retinopathy,2009-2010,nhanes.diq_f,diabetes_affected_eyes_had_retinopathy,True,1,diabetes affected eyes/had retinopathy,nhanes.diq_f,0.8277815
were told they had diabetic retinopathy,2015-2016,nhanes.diq_i,diabetes_affected_eyes_had_retinopathy,True,1,diabetes affected eyes/had retinopathy,nhanes.diq_i,0.8277815
were told they had diabetic retinopathy,2017-2018,nhanes.diq_j,diabetes_affected_eyes_had_retinopathy,True,1,diabetes affected eyes/had retinopathy,nhanes.diq_j,0.8277815
lactate dehydrogenase (u/l),2011-2012,nhanes.biopro_g,lactate_dehydrogenase_u_l,True,1,lactate dehydrogenase (u/l),nhanes.biopro_g,1.0
lactate dehydrogenase (u/l),2013-2014,nhanes.biopro_h,lactate_dehydrogenase_u_l,True,1,lactate dehydrogenase (u/l),nhanes.biopro_h,1.0
lactate dehydrogenase (u/l),2009-2010,nhanes.biopro_f,lactate_dehydrogenase_u_l,True,1,lactate dehydrogenase (u/l),nhanes.biopro_f,1.0
lactate dehydrogenase (u/l),2015-2016,nhanes.biopro_i,lactate_dehydrogenase_u_l,True,1,lactate dehydrogenase (u/l),nhanes.biopro_i,1.0
lactate dehydrogenase (u/l),2017-2018,nhanes.biopro_j,lactate_dehydrogenase_u_l,True,1,lactate dehydrogenase (u/l),nhanes.biopro_j,1.0
gender,2011-2012,nhanes.demo_g,gender,True,1,gender,nhanes.demo_g,1.0
gender,2013-2014,nhanes.demo_h,gender,True,1,gender,nhanes.demo_h,1.0
gender,2009-2010,nhanes.demo_f,gender,True,1,gender,nhanes.demo_f,1.0
gender,2015-2016,nhanes.demo_i,gender,True,1,gender,nhanes.demo_i,1.0
gender,2017-2018,nhanes.demo_j,gender,True,1,gender,nhanes.demo_j,1.0
race/hispanic origin,2011-2012,nhanes.demo_g,race_hispanic_origin,True,1,race/hispanic origin,nhanes.demo_g,1.0
race/hispanic origin,2013-2014,nhanes.demo_h,race_hispanic_origin,True,1,race/hispanic origin,nhanes.demo_h,1.0
race/hispanic origin,2009-2010,nhanes.demo_f,race_hispanic_origin,True,1,race/hispanic origin,nhanes.demo_f,1.0
race/hispanic origin,2015-2016,nhanes.demo_i,race_hispanic_origin,True,1,race/hispanic origin,nhanes.demo_i,1.0
race/hispanic origin,2017-2018,nhanes.demo_j,race_hispanic_origin,True,1,race/hispanic origin,nhanes.demo_j,1.0
age,2011-2012,nhanes.demo_g,age_in_years_at_screening,True,9,age in years at screening,nhanes.demo_g,0.50418305
age,2013-2014,nhanes.demo_h,age_in_years_at_screening,True,11,age in years at screening,nhanes.demo_h,0.50418305
age,2009-2010,nhanes.demo_f,age_in_years_at_screening,True,11,age in years at screening,nhanes.demo_f,0.50418305
age,2015-2016,nhanes.demo_i,age_in_years_at_screening,True,9,age in years at screening,nhanes.demo_i,0.50418305
age,2017-2018,nhanes.demo_j,age_in_years_at_screening,True,8,age in years at screening,nhanes.demo_j,0.50418305
