Search Keyword,Cycle,Expected Table,Expected Column,Found,Candidate Rank,Matched Variable,Matched Table,Similarity Score
self-reported diabetes,2017-2020,nhanes.p_diq,doctor_told_you_have_diabetes,True,1,doctor told you have diabetes,nhanes.p_diq,0.7115066
self-reported diabetes,2011-2012,nhanes.diq_g,doctor_told_you_have_diabetes,True,1,doctor told you have diabetes,nhanes.diq_g,0.7115066
self-reported diabetes,2013-2014,nhanes.diq_h,doctor_told_you_have_diabetes,True,1,doctor told you have diabetes,nhanes.diq_h,0.7115066
self-reported diabetes,2015-2016,nhanes.diq_i,doctor_told_you_have_diabetes,True,1,doctor told you have diabetes,nhanes.diq_i,0.7115066
fasting plasma glucose (mmol/l),2017-2020,nhanes.p_glu,fasting_glucose_mmol_l,True,1,fasting glucose (mmol/l),nhanes.p_glu,0.95560396
fasting plasma glucose (mmol/l),2011-2012,nhanes.glu_g,fasting_glucose_mmol_l,True,1,fasting glucose (mmol/l),nhanes.glu_g,0.95560396
fasting plasma glucose (mmol/l),2013-2014,nhanes.glu_h,fasting_glucose_mmol_l,True,1,fasting glucose (mmol/l),nhanes.glu_h,0.95560396
fasting plasma glucose (mmol/l),2015-2016,nhanes.glu_i,fasting_glucose_mmol_l,True,1,fasting glucose (mmol/l),nhanes.glu_i,0.95560396
glycohemoglobin (hba1c) (%),2017-2020,nhanes.p_ghb,glycohemoglobin,True,1,glycohemoglobin (%),nhanes.p_ghb,0.9163717
glycohemoglobin (hba1c) (%),2011-2012,nhanes.ghb_g,glycohemoglobin,True,1,glycohemoglobin (%),nhanes.ghb_g,0.9163717
glycohemoglobin (hba1c) (%),2013-2014,nhanes.ghb_h,glycohemoglobin,True,1,glycohemoglobin (%),nhanes.ghb_h,0.9163717
glycohemoglobin (hba1c) (%),2015-2016,nhanes.ghb_i,glycohemoglobin,True,1,glycohemoglobin (%),nhanes.ghb_i,0.9163717
random glucose level (mmol/l),2017-2020,nhanes.p_biopro,glucose_serum_mmol_l,True,1,"glucose, serum (mmol/l)",nhanes.p_biopro,0.7347678
random glucose level (mmol/l),2011-2012,nhanes.biopro_g,glucose_serum_mmol_l,True,1,"glucose, serum (mmol/l)",nhanes.biopro_g,0.7347678
random glucose level (mmol/l),2013-2014,nhanes.biopro_h,glucose_serum_mmol_l,True,1,"glucose, serum (mmol/l)",nhanes.biopro_h,0.7347678
random glucose level (mmol/l),2015-2016,nhanes.biopro_i,glucose_serum_mmol_l,True,1,"glucose, serum (mmol/l)",nhanes.biopro_i,0.7347678
