Search Keyword,Cycle,Expected Table,Expected Column,Found,Candidate Rank,Matched Variable,Matched Table,Similarity Score
self-reported diabetes,2005-2006,nhanes.diq_d,doctor_told_you_have_diabetes,True,1,doctor told you have diabetes,nhanes.diq_d,0.7115066
self-reported diabetes,2017-2020,nhanes.p_diq,doctor_told_you_have_diabetes,True,1,doctor told you have diabetes,nhanes.p_diq,0.7115066
self-reported diabetes,2011-2012,nhanes.diq_g,doctor_told_you_have_diabetes,True,1,doctor told you have diabetes,nhanes.diq_g,0.7115066
self-reported diabetes,2013-2014,nhanes.diq_h,doctor_told_you_have_diabetes,True,1,doctor told you have diabetes,nhanes.diq_h,0.7115066
self-reported diabetes,2001-2002,nhanes.diq_b,doctor_told_you_have_diabetes,True,1,doctor told you have diabetes,nhanes.diq_b,0.7115066
self-reported diabetes,2003-2004,nhanes.diq_c,doctor_told_you_have_diabetes,True,1,doctor told you have diabetes,nhanes.diq_c,0.7115066
self-reported diabetes,2007-2008,nhanes.diq_e,doctor_told_you_have_diabetes,True,1,doctor told you have diabetes,nhanes.diq_e,0.7115066
self-reported diabetes,2009-2010,nhanes.diq_f,doctor_told_you_have_diabetes,True,1,doctor told you have diabetes,nhanes.diq_f,0.7115066
self-reported diabetes,2015-2016,nhanes.diq_i,doctor_told_you_have_diabetes,True,1,doctor told you have diabetes,nhanes.diq_i,0.7115066
self-reported diabetes,1999-2000,nhanes.diq,doctor_told_you_have_diabetes,True,1,doctor told you have diabetes,nhanes.diq,0.7115066
use of insulin,2005-2006,nhanes.diq_d,taking_insulin_now,True,1,taking insulin now,nhanes.diq_d,0.78361595
use of insulin,2017-2020,nhanes.p_diq,taking_insulin_now,True,1,taking insulin now,nhanes.p_diq,0.7836159
use of insulin,2011-2012,nhanes.diq_g,taking_insulin_now,True,1,taking insulin now,nhanes.diq_g,0.7836159
use of insulin,2013-2014,nhanes.diq_h,taking_insulin_now,True,1,taking insulin now,nhanes.diq_h,0.7836159
use of insulin,2001-2002,nhanes.diq_b,taking_insulin_now,True,1,taking insulin now,nhanes.diq_b,0.78361595
use of insulin,2003-2004,nhanes.diq_c,taking_insulin_now,True,1,taking insulin now,nhanes.diq_c,0.78361595
use of insulin,2007-2008,nhanes.diq_e,taking_insulin_now,True,1,taking insulin now,nhanes.diq_e,0.7836159
use of insulin,2009-2010,nhanes.diq_f,taking_insulin_now,True,1,taking insulin now,nhanes.diq_f,0.7836159
use of insulin,2015-2016,nhanes.diq_i,taking_insulin_now,True,1,taking insulin now,nhanes.diq_i,0.78361595
use of insulin,1999-2000,nhanes.diq,taking_insulin_now,True,1,taking insulin now,nhanes.diq,0.7836159
use of other diabetes drugs,2005-2006,nhanes.diq_d,take_diabetic_pills_to_lower_blood_sugar,True,1,take diabetic pills to lower blood sugar,nhanes.diq_d,0.63446456
use of other diabetes drugs,2017-2020,nhanes.p_diq,take_diabetic_pills_to_lower_blood_sugar,True,1,take diabetic pills to lower blood sugar,nhanes.p_diq,0.63446456
use of other diabetes drugs,2011-2012,nhanes.diq_g,take_diabetic_pills_to_lower_blood_sugar,True,1,take diabetic pills to lower blood sugar,nhanes.diq_g,0.63446456
use of other diabetes drugs,2013-2014,nhanes.diq_h,take_diabetic_pills_to_lower_blood_sugar,True,1,take diabetic pills to lower blood sugar,nhanes.diq_h,0.63446456
use of other diabetes drugs,2001-2002,nhanes.diq_b,take_diabetic_pills_to_lower_blood_sugar,True,1,take diabetic pills to lower blood sugar,nhanes.diq_b,0.63446456
use of other diabetes drugs,2003-2004,nhanes.diq_c,take_diabetic_pills_to_lower_blood_sugar,True,1,take diabetic pills to lower blood sugar,nhanes.diq_c,0.63446456
use of other diabetes drugs,2007-2008,nhanes.diq_e,take_diabetic_pills_to_lower_blood_sugar,True,1,take diabetic pills to lower blood sugar,nhanes.diq_e,0.63446456
use of other diabetes drugs,2009-2010,nhanes.diq_f,take_diabetic_pills_to_lower_blood_sugar,True,1,take diabetic pills to lower blood sugar,nhanes.diq_f,0.63446456
use of other diabetes drugs,2015-2016,nhanes.diq_i,take_diabetic_pills_to_lower_blood_sugar,True,1,take diabetic pills to lower blood sugar,nhanes.diq_i,0.63446456
use of other diabetes drugs,1999-2000,nhanes.diq,take_diabetic_pills_to_lower_blood_sugar,True,1,take diabetic pills to lower blood sugar,nhanes.diq,0.63446456
fasting glucose (mmol/l),2005-2006,nhanes.glu_d,fasting_glucose_mmol_l,True,1,fasting glucose (mmol/l),nhanes.glu_d,1.0
fasting glucose (mmol/l),2017-2020,nhanes.p_glu,fasting_glucose_mmol_l,True,1,fasting glucose (mmol/l),nhanes.p_glu,1.0
fasting glucose (mmol/l),2011-2012,nhanes.glu_g,fasting_glucose_mmol_l,True,1,fasting glucose (mmol/l),nhanes.glu_g,1.0
fasting glucose (mmol/l),2013-2014,nhanes.glu_h,fasting_glucose_mmol_l,True,1,fasting glucose (mmol/l),nhanes.glu_h,1.0
fasting glucose (mmol/l),2001-2002,nhanes.l10am_b,plasma_glucose_si_mmol_l,True,2,plasma glucose: si(mmol/l),nhanes.l10am_b,0.7288101
fasting glucose (mmol/l),2003-2004,nhanes.l10am_c,fasting_glucose_mmol_l,True,1,fasting glucose (mmol/l),nhanes.l10am_c,1.0
fasting glucose (mmol/l),2007-2008,nhanes.glu_e,fasting_glucose_mmol_l,True,1,fasting glucose (mmol/l),nhanes.glu_e,1.0
